"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc","jobdesc_id","source"
"19","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","19","TECHNIQUES","technique","PROPN","NNP","Number=Sing","9","conj",NA,"SpaceAfter=No",1,"Indeed"
"23","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","23","DESIGNING","Designing","NOUN","NN","Number=Sing","26","compound",NA,NA,1,"Indeed"
"25","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","25","RUNNING","run","PROPN","NNP","Number=Sing","23","conj",NA,NA,1,"Indeed"
"26","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","26","EXPERIMENTS","EXPERIMENTS","PROPN","NNP","Number=Sing","4","obj",NA,NA,1,"Indeed"
"28","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","28","GATHER","gather","PROPN","NNP","Number=Sing","29","compound",NA,NA,1,"Indeed"
"29","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","29","DATA","data","PROPN","NNP","Number=Sing","26","nmod",NA,NA,1,"Indeed"
"31","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","31","I.E.","i.e.","PROPN","NNP","Number=Sing","33","compound",NA,NA,1,"Indeed"
"32","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","32","A/B","A/B","PROPN","NNP","Number=Sing","33","compound",NA,NA,1,"Indeed"
"33","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","33","TESTING","testing","PROPN","NNP","Number=Sing","26","parataxis",NA,"SpaceAfter=No",1,"Indeed"
"38","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","38","DEVELOP","develop","PROPN","NNP","Number=Sing","40","compound",NA,NA,1,"Indeed"
"39","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","39","NOVEL","novel","PROPN","NNP","Number=Sing","40","compound",NA,NA,1,"Indeed"
"40","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","40","APPLICATIONS","application","PROPN","NNPS","Number=Plur","4","obj",NA,NA,1,"Indeed"
"42","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","42","CLASSIFICATION","Classification","PROPN","NNP","Number=Sing","40","nmod",NA,"SpaceAfter=No",1,"Indeed"
"44","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","44","FORECASTING","Forecasting","PROPN","NNP","Number=Sing","40","conj",NA,"SpaceAfter=No",1,"Indeed"
"46","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","46","SIMULATION","simulation","PROPN","NNP","Number=Sing","40","conj",NA,"SpaceAfter=No",1,"Indeed"
"48","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","48","OPTIMIZATION","optimization","PROPN","NNP","Number=Sing","40","conj",NA,"SpaceAfter=No",1,"Indeed"
"51","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","51","SUMMARIZATION","Summarization","PROPN","NNP","Number=Sing","52","compound",NA,NA,1,"Indeed"
"52","doc1",1,1,"C(""ANSWERING COMPLEX BUSINESS QUESTIONS BY USING STATISTICS, MODELING, SIMULATION, AND MACHINE LEARNING TECHNIQUES"", ""DESIGNING AND RUNNING EXPERIMENTS TO GATHER DATA (I.E. A/B TESTING)"", ""DEVELOP NOVEL APPLICATIONS OF CLASSIFICATION, FORECASTING, SIMULATION, OPTIMIZATION, AND SUMMARIZATION TECHNIQUES."",","52","TECHNIQUES","technique","PROPN","NNP","Number=Sing","40","conj",NA,"SpaceAfter=No",1,"Indeed"
"58","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","3","DATA","Daof","PROPN","NNP","Number=Sing","4","compound",NA,NA,1,"Indeed"
"59","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","4","PREPARATION","preparation","PROPN","NNP","Number=Sing","2","obj",NA,NA,1,"Indeed"
"61","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","6","CLEANSING","Cleansing","PROPN","NNP","Number=Sing","4","conj",NA,"SpaceAfter=No",1,"Indeed"
"64","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","9","BUILDING","building","PROPN","NNP","Number=Sing","11","compound",NA,NA,1,"Indeed"
"65","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","10","DATA","data","PROPN","NNP","Number=Sing","11","compound",NA,NA,1,"Indeed"
"66","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","11","PIPELINES","Pipeline","PROPN","NNP","Number=Sing","2","conj",NA,NA,1,"Indeed"
"68","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","13","SUPPORT","support","PROPN","NNP","Number=Sing","17","compound",NA,NA,1,"Indeed"
"69","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","14","MODELING","modeling","PROPN","NNP","Number=Sing","17","compound",NA,NA,1,"Indeed"
"71","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","16","OPERATIONAL","operational","PROPN","NNP","Number=Sing","14","conj",NA,NA,1,"Indeed"
"72","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","17","NEEDS","need","PROPN","NNP","Number=Sing","11","flat",NA,"SpaceAfter=No",1,"Indeed"
"76","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","21","WORK","work","PROPN","NNP","Number=Sing","22","compound",NA,NA,1,"Indeed"
"77","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","22","CLOSELY","closely","PROPN","NNP","Number=Sing","2","obj",NA,NA,1,"Indeed"
"79","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","24","CROSS","cross","PROPN","NNP","Number=Sing","26","compound",NA,NA,1,"Indeed"
"80","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","25","FUNCTIONAL","functional","PROPN","NNP","Number=Sing","26","compound",NA,NA,1,"Indeed"
"81","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","26","TEAMS","teams","PROPN","NNP","Number=Sing","22","nmod",NA,NA,1,"Indeed"
"83","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","28","ENCOURAGE","encourage","PROPN","NNP","Number=Sing","30","compound",NA,NA,1,"Indeed"
"84","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","29","BEST","best","PROPN","NNP","Number=Sing","30","compound",NA,NA,1,"Indeed"
"85","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","30","PRACTICES","practice","PROPN","NNP","Number=Sing","22","nmod",NA,NA,1,"Indeed"
"87","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","32","EXPERIMENTAL","experimental","PROPN","NNP","Number=Sing","33","compound",NA,NA,1,"Indeed"
"88","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","33","DESIGN","design","PROPN","NNP","Number=Sing","30","nmod",NA,NA,1,"Indeed"
"90","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","35","DATA","data","PROPN","NNP","Number=Sing","36","compound",NA,NA,1,"Indeed"
"91","doc1",1,2,"""CONDUCTING DATA PREPARATION AND CLEANSING, AND BUILDING DATA PIPELINES TO SUPPORT MODELING AND OPERATIONAL NEEDS"", ""WORK CLOSELY WITH CROSS FUNCTIONAL TEAMS TO ENCOURAGE BEST PRACTICES FOR EXPERIMENTAL DESIGN AND DATA ANALYSIS."",","36","ANALYSIS.","ANALYSIS.","PROPN","NNP","Number=Sing","30","conj",NA,"SpaceAfter=No",1,"Indeed"
"95","doc1",1,3,"""CREATE COMPELLING INTERACTIVE VISUALIZATIONS AND PRESENTATIONS TO ENHANCE DECISION MAKING CAPABILITIES THROUGHOUT THE COMPANY."", ""PERFORM OTHER DUTIES AS ASSIGNED."", ""MINIMUM GRADUATE DEGREE"", ""PREFERRED PHD"", ""2-5 YEARS RELEVANT RESEARCH EXPERIENCE"", ""EXTENSIVE EXPERIENCE IN PYTHON AND SQL"", ""FAMILIARITY WITH VISUALIZATION TOOLS SUCH AS TABLEAU, LOOKER, OR POWER BI"", ""ABILITY TO EFFECTIVELY SHARE TECHNICAL INFORMATION, COMMUNICATE TECHNICAL ISSUES AND SOLUTIONS TO ALL LEVELS OF BUSINESS"", ""ABLE TO WORK INDEPENDENTLY AND JUGGLE MULTIPLE PROJECTS - CAN IDENTIFY PRIMARY AND SECONDARY OBJECTIVES, PRIORITIZE TIME AND COMMUNICATE TIMELINE TO TEAM MEMBERS"", ""ABILITY AND DESIRE TO TAKE PRODUCT/PROJECT OWNERSHIP"", ""ABILITY TO THINK CREATIVELY, STRATEGICALLY AND TECHNICALLY"", ""STRONG PASSION FOR ANSWERING COMPLEX BUSINESS QUESTIONS USING STRUCTURED PROBLEM SOLVING AND RIGOROUS DATA ANALYSIS"", ""PRACTICES OPEN AND CONTINUOUS COMMUNICATION, VALUES KEEPING OTHERS INFORMED, EFFECTIVELY PRESENTING INFORMATION IN A CLEAR, CONCISE MANNER."",","2","CREATE","create","NOUN","NN","Number=Sing","3","compound",NA,NA,1,"Indeed"
"96","doc1",1,3,"""CREATE COMPELLING INTERACTIVE VISUALIZATIONS AND PRESENTATIONS TO ENHANCE DECISION MAKING CAPABILITIES THROUGHOUT THE COMPANY."", ""PERFORM OTHER DUTIES AS ASSIGNED."", ""MINIMUM GRADUATE DEGREE"", ""PREFERRED PHD"", ""2-5 YEARS RELEVANT RESEARCH EXPERIENCE"", ""EXTENSIVE EXPERIENCE IN PYTHON AND SQL"", ""FAMILIARITY WITH VISUALIZATION TOOLS SUCH AS TABLEAU, LOOKER, OR POWER BI"", ""ABILITY TO EFFECTIVELY SHARE TECHNICAL INFORMATION, COMMUNICATE TECHNICAL ISSUES AND SOLUTIONS TO ALL LEVELS OF BUSINESS"", ""ABLE TO WORK INDEPENDENTLY AND JUGGLE MULTIPLE PROJECTS - CAN IDENTIFY PRIMARY AND SECONDARY OBJECTIVES, PRIORITIZE TIME AND COMMUNICATE TIMELINE TO TEAM MEMBERS"", ""ABILITY AND DESIRE TO TAKE PRODUCT/PROJECT OWNERSHIP"", ""ABILITY TO THINK CREATIVELY, STRATEGICALLY AND TECHNICALLY"", ""STRONG PASSION FOR ANSWERING COMPLEX BUSINESS QUESTIONS USING STRUCTURED PROBLEM SOLVING AND RIGOROUS DATA ANALYSIS"", ""PRACTICES OPEN AND CONTINUOUS COMMUNICATION, VALUES KEEPING OTHERS INFORMED, EFFECTIVELY PRESENTING INFORMATION IN A CLEAR, CONCISE MANNER."",","3","COMPELLING","compelling","NOUN","NN","Number=Sing","31","compound",NA,NA,1,"Indeed"
